name,year_start,year_end,position,height,weight,birth_date,college,id,Player,collage,born,birth_city,birth_state
Alan Sawyer,1951,1951,F,196,88,January 1, 1928,University of California, Los Angeles,251,Alan Sawyer,University of California, Los Angeles,1928,Long Beach,California
Brian Scalabrine,2002,2012,F,206,109,March 18, 1978,University of Southern California,2831,Brian Scalabrine,University of Southern California,1978,Long Beach,California
Alex Scales,2006,2006,G,193,83,July 3, 1978,University of Oregon,3105,Alex Scales,University of Oregon,1978,Racine,Wisconsin
DeWayne Scales,1981,1984,F,203,94,December 28, 1958,Louisiana State University,1451,DeWayne Scales,Louisiana State University,1958,Dallas,Texas
Frank Schade,1973,1973,G,185,77,January 22, 1950,University of Wisconsin-Eau Claire,967,Frank Schade,University of Wisconsin-Eau Claire,1950,Wausau,Wisconsin
Ben Schadler,1948,1948,F,6-0,185,March 9, 1924,Northwestern University
Herm Schaefer,1949,1950,G-F,183,79,December 20, 1918,Indiana University,179,Herm Schaefer,Indiana University,1918,Fort Wayne,Indiana
Billy Schaeffer,1974,1976,F,6-5,200,December 11, 1951,St. John's University
Bob Schafer,1956,1957,G,190,88,,Villanova University,412,Bob Schafer,Villanova University,1935,,
Ben Scharnus,1947,1949,F,6-2,173,December 11, 1917,Seton Hall University
Marv Schatzman,1950,1950,F,196,90,February 18, 1927,Saint Louis University,180,Marv Schatzman,Saint Louis University,1927,,
Fred Schaus,1950,1954,F,196,92,June 30, 1925,West Virginia University,181,Fred Schaus,West Virginia University,1925,Newark,Ohio
Danny Schayes,1982,1999,C-F,211,106,May 10, 1959,Syracuse University,1513,Danny Schayes,Syracuse University,1959,Syracuse,New York
Dolph Schayes,1950,1964,F-C,6-8,220,May 19, 1928,New York University
Ossie Schectman,1947,1947,G,6-0,175,March 30, 1919,Long Island University
Steve Scheffler,1991,1997,C-F,206,113,September 3, 1967,Purdue University,2103,Steve Scheffler,Purdue University,1967,Grand Rapids,Michigan
Tom Scheffler,1985,1985,C,211,108,October 27, 1954,Purdue University,1686,Tom Scheffler,Purdue University,1954,St. Joseph,Michigan
Dave Schellhase,1967,1968,G,190,92,October 14, 1944,Purdue University,698,Dave Schellhase,Purdue University,1944,Evansville,Indiana
Luke Schenscher,2006,2007,C,216,115,December 31, 1982,Georgia Institute of Technology,3106,Luke Schenscher,Georgia Institute of Technology,1982,Hope Forest,Australia
Herb Scherer,1951,1952,C,206,96,December 21, 1928,Long Island University,252,Herb Scherer,Long Island University,1928,,
Dwayne Schintzius,1991,1999,C,216,117,October 14, 1968,University of Florida,2104,Dwayne Schintzius,University of Florida,1968,Brandon,Florida
Dale Schlueter,1969,1978,C,208,102,November 12, 1945,Colorado State University,780,Dale Schlueter,Colorado State University,1945,Tacoma,Washington
Otto Schnellbacher,1949,1949,F-G,6-4,185,April 15, 1923,University of Kansas
Dick Schnittker,1951,1958,F,196,90,May 27, 1928,Ohio State University,253,Dick Schnittker,Ohio State University,1928,Kelleys Island,Ohio
Russ Schoene,1983,1989,F-C,208,95,April 16, 1960,University of Tennessee at Chattanooga,1572,Russ Schoene,University of Tennessee at Chattanooga,1960,Trenton,Illinois
Dave Scholz,1970,1970,F,203,99,April 12, 1948,University of Illinois at Urbana-Champaign,814,Dave Scholz,University of Illinois at Urbana-Champaign,1948,,
Milt Schoon,1947,1950,C,201,104,February 25, 1922,Valparaiso University,183,Milt Schoon,Valparaiso University,1922,,
Detlef Schrempf,1986,2001,F-C,206,97,January 21, 1963,University of Washington,1754,Detlef Schrempf,University of Washington,1963,Leverkusen,Germany
Dennis Schroder,2014,2018,G,185,78,September 15, 1993,,3669,Dennis Schroder,,1993,Braunschweig,Germany
Howie Schultz,1950,1953,C-F,198,90,July 3, 1922,Hamline University,184,Howie Schultz,Hamline University,1922,St. Paul,Minnesota
Dick Schulz,1947,1950,F-G,188,87,January 3, 1917,University of Wisconsin,185,Dick Schulz,University of Wisconsin,1917,Racine,Wisconsin
Roger Schurig,1968,1968,G,6-3,185,April 3, 1942,Vanderbilt University
John Schweitz,1985,1987,G,198,95,April 19, 1960,University of Richmond,1687,John Schweitz,University of Richmond,1960,Waterloo,New York
Luis Scola,2008,2017,F,206,108,April 30, 1980,,3250,Luis Scola,,1980,Buenos Aires,Argentina
Fred Scolari,1947,1955,G,178,81,March 1, 1922,University of San Francisco,186,Fred Scolari,University of San Francisco,1922,San Francisco,California
Alvin Scott,1978,1985,F-G,201,83,September 14, 1955,Oral Roberts University,1279,Alvin Scott,Oral Roberts University,1955,Cleveland,Tennessee
Brent Scott,1997,1997,F-C,208,113,June 15, 1971,Rice University,2503,Brent Scott,Rice University,1971,Jackson,Michigan
Byron Scott,1984,1997,G,190,88,March 28, 1961,Arizona State University,1632,Byron Scott,Arizona State University,1961,Ogden,Utah
Charlie Scott,1971,1980,G-F,196,79,December 15, 1948,University of North Carolina,920,Charlie Scott,University of North Carolina,1948,New York,New York
Dennis Scott,1991,2000,F,203,103,September 5, 1968,Georgia Institute of Technology,2105,Dennis Scott,Georgia Institute of Technology,1968,Hagerstown,Maryland
James Scott,1997,1997,F,198,81,June 6, 1972,St. John's University,2504,James Scott,St. John's University,1972,Paterson,New Jersey
Mike Scott,2013,2018,F,203,107,July 16, 1988,University of Virginia,3590,Mike Scott,University of Virginia,1988,Chesapeake,Virginia
Ray Scott,1962,1972,F-C,206,97,July 12, 1938,University of Portland,554,Ray Scott,University of Portland,1938,Philadelphia,Pennsylvania
Shawnelle Scott,1997,2002,C,208,113,June 16, 1972,St. John's University,2505,Shawnelle Scott,St. John's University,1972,New York,New York
Willie Scott,1970,1970,F,6-5,210,May 22, 1947,Alabama State University
Paul Scranton,1968,1968,F,6-5,230,April 30, 1944,California State Polytechnic University, Pomona
Carey Scurry,1986,1988,F,201,85,December 4, 1962,Long Island University,1755,Carey Scurry,Long Island University,1962,Brooklyn,New York
Bruce Seals,1974,1978,F,203,95,June 18, 1953,Xavier University of Louisiana,1112,Bruce Seals,Xavier University of Louisiana,1953,New Orleans,Louisiana
Shea Seals,1998,1998,G,196,95,August 26, 1975,University of Tulsa,2565,Shea Seals,University of Tulsa,1975,Tulsa,Oklahoma
Malik Sealy,1993,2000,G,203,86,February 1, 1970,St. John's University,2229,Malik Sealy,St. John's University,1970,Bronx,New York
Ed Searcy,1976,1976,F,198,95,April 17, 1952,St. John's University,1113,Ed Searcy,St. John's University,1952,New York,New York
Kenny Sears,1956,1964,F,206,89,August 17, 1933,Santa Clara University,413,Kenny Sears,Santa Clara University,1933,Watsonville,California
Wayne See,1950,1950,G,190,86,November 3, 1923,Northern Arizona University,187,Wayne See,Northern Arizona University,1923,Clemenceau,Arizona
Thabo Sefolosha,2007,2018,G-F,201,99,May 2, 1984,,3189,Thabo Sefolosha,,1984,Vevey,Switzerland
Rony Seikaly,1989,1999,C,211,104,May 10, 1965,Syracuse University,1950,Rony Seikaly,Syracuse University,1965,Beirut,Lebanon
Glen Selbo,1950,1950,G-F,190,88,March 29, 1926,University of Wisconsin,188,Glen Selbo,University of Wisconsin,1926,,
Josh Selby,2012,2013,G,188,83,March 27, 1991,University of Kansas,3506,Josh Selby,University of Kansas,1991,Baltimore,Maryland
Wayne Selden,2017,2018,G-F,196,104,September 30, 1994,University of Kansas,3904,Wayne Selden,University of Kansas,1994,Roxbury,Massachusetts
Brad Sellers,1987,1993,C-F,213,95,December 17, 1962,Ohio State University,1815,Brad Sellers,Ohio State University,1962,Warrensville Heights,Ohio
Phil Sellers,1977,1977,F-G,193,88,November 20, 1953,Rutgers University,1202,Phil Sellers,Rutgers University,1953,Brooklyn,New York
Rollie Seltz,1950,1950,G-F,178,74,January 25, 1924,Hamline University,189,Rollie Seltz,Hamline University,1924,McIntosh,Minnesota
Lester Selvage,1968,1970,G,6-1,175,March 7, 1943,Truman State University
Frank Selvy,1955,1964,G-F,190,81,November 9, 1932,Furman University,382,Frank Selvy,Furman University,1932,Corbin,Kentucky
Jim Seminoff,1947,1950,G-F,188,86,September 1, 1922,University of Southern California,190,Jim Seminoff,University of Southern California,1922,Los Angelse,California
Mouhamed Sene,2007,2009,C-F,201,99,May 12, 1986,,3190,Mouhamed Sene,,1984,,
George Senesky,1947,1954,G,188,81,April 4, 1922,Saint Joseph's University,191,George Senesky,Saint Joseph's University,1922,Mahanoy City,Pennsylvania
Kevin Seraphin,2011,2017,F,206,129,December 7, 1989,,3438,Kevin Seraphin,,1989,Cayenne,French Guiana
Ansu Sesay,2002,2005,F,206,102,July 29, 1976,University of Mississippi,2832,Ansu Sesay,University of Mississippi,1976,Greensboro,North Carolina
Ramon Sessions,2008,2018,G,190,86,April 11, 1986,University of Nevada, Reno,3251,Ramon Sessions,University of Nevada, Reno,1986,Myrtle Beach,South Carolina
Ha Seung-Jin,2005,2006,C,221,138,August 4, 1985,,3023,Ha Seung-Jin,,1985,Seoul,Republic of Korea
Tom Sewell,1985,1985,G,196,83,March 11, 1962,Lamar University,1688,Tom Sewell,Lamar University,1962,Pensacola,Florida
Paul Seymour,1948,1960,G-F,185,81,January 30, 1928,University of Toledo,192,Paul Seymour,University of Toledo,1928,Toledo,Ohio
Nick Shaback,1947,1947,G,5-11,180,September 10, 1918,
Lynn Shackelford,1970,1970,F,6-5,190,August 27, 1947,University of California, Los Angeles
Charles Shackleford,1989,1999,F-C,208,102,April 22, 1966,North Carolina State University,1951,Charles Shackleford,North Carolina State University,1966,Kinston,North Carolina
Carl Shaeffer,1950,1951,F-G,190,83,October 25, 1924,University of Alabama,193,Carl Shaeffer,University of Alabama,1924,Delphi,Indiana
Lee Shaffer,1962,1964,F,201,99,February 23, 1939,University of North Carolina,555,Lee Shaffer,University of North Carolina,1939,Chicago,Illinois
Mustafa Shakur,2011,2014,G,190,86,August 18, 1984,University of Arizona,3439,Mustafa Shakur,University of Arizona,1984,Philadelphia,Pennsylvania
God Shammgod,1998,1998,G,183,76,April 29, 1976,Providence College,2566,God Shammgod,Providence College,1976,New York,New York
Earl Shannon,1947,1949,G-F,5-11,170,November 23, 1921,University of Rhode Island
Howie Shannon,1949,1950,G-F,188,79,June 10, 1923,Kansas State University,194,Howie Shannon,Kansas State University,1923,Manhattan,Kansas
Chuck Share,1952,1960,C,211,106,March 14, 1927,Bowling Green State University,279,Chuck Share,Bowling Green State University,1927,,
Bill Sharman,1951,1961,G,6-1,175,May 25, 1926,University of Southern California
Walter Sharpe,2009,2009,F,206,111,July 18, 1986,University of Alabama at Birmingham,3315,Walter Sharpe,University of Alabama at Birmingham,1986,Huntsville,Alabama
John Shasky,1989,1991,C,211,106,July 31, 1964,University of Minnesota,1952,John Shasky,University of Minnesota,1964,Birmingham,Michigan
Ron Shavlik,1957,1958,F,203,90,December 4, 1933,North Carolina State University,439,Ron Shavlik,North Carolina State University,1933,Denver,Colorado
Brian Shaw,1989,2003,G,198,86,March 22, 1966,University of California, Santa Barbara,1953,Brian Shaw,University of California, Santa Barbara,1966,Oakland,California
Casey Shaw,1999,1999,C,211,117,July 20, 1975,University of Toledo,2631,Casey Shaw,University of Toledo,1975,Lebanon,Ohio
Bob Shea,1947,1947,F,6-2,194,September 11, 1924,University of Rhode Island
Fred Sheffield,1947,1947,F,6-2,165,November 5, 1923,University of Utah
Craig Shelton,1981,1982,F,201,95,May 1, 1957,Georgetown University,1452,Craig Shelton,Georgetown University,1957,Washington,District of Columbia
Lonnie Shelton,1977,1986,F-C,203,108,October 19, 1955,Oregon State University,1203,Lonnie Shelton,Oregon State University,1955,Bakersfield,California
Tornike Shengelia,2013,2014,F,206,98,October 5, 1991,,3591,Tornike Shengelia,,1991,Tbilisi,Georgia
Billy Shepherd,1973,1975,G,5-10,160,November 18, 1949,Butler University
Jeffrey Sheppard,1999,1999,G,190,86,September 29, 1974,University of Kentucky,2632,Jeffrey Sheppard,University of Kentucky,1974,Marietta,Georgia
Steve Sheppard,1978,1979,F,198,97,March 21, 1954,University of Maryland,1280,Steve Sheppard,University of Maryland,1954,New York,New York
Ed Sherod,1983,1983,G,188,77,September 13, 1959,Virginia Commonwealth University,1573,Ed Sherod,Virginia Commonwealth University,1959,Richmond,Virginia
Charley Shipp,1950,1950,G-F,185,90,December 3, 1913,Catholic University of America,195,Charley Shipp,Catholic University of America,1913,,
Paul Shirley,2003,2005,F-C,208,104,December 23, 1977,Iowa State University,2894,Paul Shirley,Iowa State University,1977,Meriden,Kansas
Gene Short,1976,1976,F,198,90,August 7, 1953,Jackson State University,1114,Gene Short,Jackson State University,1953,Macon,Mississippi
Purvis Short,1979,1990,F-G,201,95,July 2, 1957,Jackson State University,1329,Purvis Short,Jackson State University,1957,Hattiesburg,Mississippi
Dexter Shouse,1990,1990,G,188,90,March 24, 1963,University of South Alabama,2036,Dexter Shouse,University of South Alabama,1963,Terre Haute,Indiana
Dick Shrider,1949,1949,G,6-2,190,February 7, 1923,Ohio University
Gene Shue,1955,1964,G,188,77,December 18, 1931,University of Maryland,383,Gene Shue,University of Maryland,1931,Baltimore,Maryland
John Shumate,1976,1981,F-C,206,106,April 6, 1952,University of Notre Dame,1115,John Shumate,University of Notre Dame,1952,Greenville,South Carolina
Iman Shumpert,2012,2018,G,196,99,June 26, 1990,Georgia Institute of Technology,3507,Iman Shumpert,Georgia Institute of Technology,1990,Oak Park,Illinois
Alexey Shved,2013,2015,G,198,86,December 16, 1988,,3592,Alexey Shved,,1988,Belgorod,Russia
Pascal Siakam,2017,2018,F,206,104,February 4, 1994,New Mexico State University,3905,Pascal Siakam,New Mexico State University,1994,Douala,Cameroon
Sam Sibert,1973,1973,F,201,97,February 11, 1949,Kentucky State University,968,Sam Sibert,Kentucky State University,1949,,
Mark Sibley,1974,1974,G,188,79,November 13, 1950,Northwestern University,1013,Mark Sibley,Northwestern University,1950,,
Jerry Sichting,1981,1990,G,185,76,November 29, 1956,Purdue University,1453,Jerry Sichting,Purdue University,1956,Martinsville,Indiana
Donald Sidle,1969,1972,F-C,6-8,215,June 21, 1946,University of Oklahoma
Larry Siegfried,1964,1972,F,190,86,May 22, 1939,Ohio State University,616,Larry Siegfried,Ohio State University,1939,Shelby,Ohio
Ralph Siewert,1947,1947,C,7-1,230,December 31, 1923,Dakota Wesleyan University
Jack Sikma,1978,1991,C-F,211,104,November 14, 1955,Illinois Wesleyan University,1281,Jack Sikma,Illinois Wesleyan University,1955,Kankakee,Illinois
James Silas,1973,1982,G,185,81,February 11, 1949,Stephen F. Austin State University,1204,James Silas,Stephen F. Austin State University,1949,Tallulah,Louisiana
Paul Silas,1965,1980,F-C,201,99,July 12, 1943,Creighton University,644,Paul Silas,Creighton University,1943,Prescott,Arkansas
Xavier Silas,2012,2012,G,196,92,January 22, 1988,Northern Illinois University,3508,Xavier Silas,Northern Illinois University,1988,San Antonio,Texas
Garret Siler,2011,2011,C,211,138,October 25, 1986,Augusta State University,3440,Garret Siler,Augusta State University,1986,Augusta,Georgia
Mike Silliman,1971,1971,F,198,102,May 5, 1944,United States Military Academy,866,Mike Silliman,United States Military Academy,1944,Louisville,Kentucky
Wayne Simien,2006,2007,F,206,115,March 9, 1983,University of Kansas,3107,Wayne Simien,University of Kansas,1983,Leavenworth,Kansas
Ben Simmons,2018,2018,G-F,6-10,230,July 20, 1996,Louisiana State University
Bobby Simmons,2002,2012,G-F,201,95,June 2, 1980,DePaul University,2833,Bobby Simmons,DePaul University,1980,Chicago,Illinois
Cedric Simmons,2007,2009,F,206,106,January 3, 1986,North Carolina State University,3191,Cedric Simmons,North Carolina State University,1986,Shallotte,North Carolina
Connie Simmons,1947,1956,C-F,203,100,March 15, 1925,,196,Connie Simmons,,1925,Newark,New Jersey
Grant Simmons,1968,1969,G,6-3,190,March 7, 1943,University of Nebraska
Johnny Simmons,1947,1947,G,6-1,184,July 7, 1924,New York University
Jonathon Simmons,2016,2018,G-F,185,83,September 14, 1989,University of Houston,3820,Jonathon Simmons,New York University,1924,Birmingham,Alabama
Kobi Simmons,2018,2018,G,6-5,166,July 4, 1997,University of Arizona
Lionel Simmons,1991,1997,F,201,95,November 14, 1968,La Salle University,2106,Lionel Simmons,La Salle University,1968,Philadelphia,Pennsylvania
Miles Simon,1999,1999,G,190,91,November 21, 1975,University of Arizona,2633,Miles Simon,University of Arizona,1975,Stockholm,Sweden
Walter Simon,1968,1974,F-G,6-6,200,December 1, 1939,Benedict College
Dickey Simpkins,1995,2002,F,206,112,April 6, 1972,Providence College,2362,Dickey Simpkins,Providence College,1972,Fort Washington,Maryland
Ralph Simpson,1971,1980,G-F,196,90,August 10, 1949,Michigan State University,1205,Ralph Simpson,Michigan State University,1949,Detroit,Michigan
Alvin Sims,1999,1999,G,193,106,October 18, 1974,University of Louisville,2634,Alvin Sims,University of Louisville,1974,Paris,Kentucky
Bob Sims,1962,1968,G-F,196,99,October 9, 1938,Pepperdine University,556,Bob Sims,Pepperdine University,1938,,
Courtney Sims,2008,2009,C,208,111,October 21, 1983,University of Michigan,3252,Courtney Sims,University of Michigan,1983,Roslindale,Massachusetts
Doug Sims,1969,1969,F,201,88,June 29, 1943,Kent State University,781,Doug Sims,Kent State University,1943,Elba,Alabama
Henry Sims,2013,2016,C,208,112,March 27, 1990,Georgetown University,3593,Henry Sims,Georgetown University,1990,Baltimore,Maryland
Scott Sims,1978,1978,G,185,77,April 18, 1955,University of Missouri,1282,Scott Sims,University of Missouri,1955,Kirksville,Missouri
Kyle Singler,2013,2018,F,203,103,May 4, 1988,Duke University,3594,Kyle Singler,Duke University,1988,Medford,Oregon
Sean Singletary,2009,2009,G,183,83,September 6, 1985,University of Virginia,3316,Sean Singletary,University of Virginia,1985,Philadelphia,Pennsylvania
Chris Singleton,2012,2014,F,203,104,November 21, 1989,Florida State University,3509,Chris Singleton,Florida State University,1989,Canton,Georgia
James Singleton,2006,2012,F,203,97,July 20, 1981,Murray State University,3108,James Singleton,Murray State University,1981,Chicago,Illinois
McKinley Singleton,1987,1987,G,196,79,October 29, 1961,University of Alabama at Birmingham,1816,McKinley Singleton,University of Alabama at Birmingham,1961,Memphis,Tennessee
Zeke Sinicola,1952,1954,G,178,74,January 25, 1929,Niagara University,280,Zeke Sinicola,Niagara University,1929,,
Charlie Sitton,1985,1985,F,203,95,July 3, 1962,Oregon State University,1689,Charlie Sitton,Oregon State University,1962,McMinnville,Oregon
Peyton Siva,2014,2014,G,183,83,October 24, 1990,University of Louisville,3670,Peyton Siva,University of Louisville,1990,Seattle,Washington
Scott Skiles,1987,1996,G,185,81,March 5, 1964,Michigan State University,1817,Scott Skiles,Michigan State University,1964,LaPorte,Indiana
Al Skinner,1975,1980,G,190,86,June 16, 1952,University of Massachusetts Amherst,1206,Al Skinner,University of Massachusetts Amherst,1952,Mount Vernon,New York
Brian Skinner,1999,2012,F,206,115,May 19, 1976,Baylor University,2635,Brian Skinner,Baylor University,1976,Temple,Texas
Tal Skinner,1975,1976,F-G,196,88,September 10, 1952,University of Maryland Eastern Shore,1054,Tal Skinner,University of Maryland Eastern Shore,1952,Berlin,Maryland
Whitey Skoog,1952,1957,G,180,81,November 2, 1926,University of Minnesota,281,Whitey Skoog,University of Minnesota,1926,Duluth,Minnesota
Jeff Slade,1963,1963,F,198,99,March 1, 1941,Kenyon College,589,Jeff Slade,Kenyon College,1941,,
Reggie Slater,1995,2003,F,201,97,August 27, 1970,University of Wyoming,2363,Reggie Slater,University of Wyoming,1970,Houston,Texas
Jim Slaughter,1952,1952,C,211,95,May 13, 1928,University of South Carolina,282,Jim Slaughter,University of South Carolina,1928,,
Jose Slaughter,1983,1983,G,196,92,September 9, 1960,University of Portland,1574,Jose Slaughter,University of Portland,1960,Los Angeles,California
Tamar Slay,2003,2005,G,203,97,April 2, 1980,Marshall University,2895,Tamar Slay,Marshall University,1980,Beckley,West Virginia
Donald Sloan,2012,2016,G,190,92,January 15, 1988,Texas A&M University,3510,Donald Sloan,Texas A&M University,1988,Shreveport,Louisiana
Jerry Sloan,1966,1976,G-F,6-5,195,March 28, 1942,University of Evansville
Uros Slokar,2007,2007,F,208,107,May 14, 1983,,3192,Uros Slokar,,1983,Ljubljana,Slovenia
Tom Sluby,1985,1985,G,193,90,February 18, 1962,University of Notre Dame,1690,Tom Sluby,University of Notre Dame,1962,Washington,District of Columbia
Keith Smart,1989,1989,G,185,79,September 21, 1964,Indiana University,1954,Keith Smart,Indiana University,1964,Baton Rouge,Louisiana
Marcus Smart,2015,2018,G,193,99,March 6, 1994,Oklahoma State University,3748,Marcus Smart,Oklahoma State University,1994,Flower Mound,Texas
Belus Smawley,1947,1952,G-F,185,88,March 20, 1918,Appalachian State University,197,Belus Smawley,Appalachian State University,1918,Golden Valley,North Carolina
Jack Smiley,1949,1950,F-G,190,86,December 22, 1922,University of Illinois at Urbana-Champaign,198,Jack Smiley,University of Illinois at Urbana-Champaign,1922,Sandwich,Illinois
Adrian Smith,1962,1972,G,185,81,October 5, 1936,University of Kentucky,557,Adrian Smith,University of Kentucky,1936,Farmington,Kentucky
Al Smith,1972,1976,G,6-1,185,January 15, 1947,Bradley University
Bill Smith,1962,1962,G-F,196,86,April 26, 1939,Saint Peter's College,558,Bill Smith,Saint Peter's College,1939,,
Bingo Smith,1970,1980,F-G,196,86,February 26, 1946,University of Tulsa,815,Bingo Smith,Saint Peter's College,1939,,
Bobby Smith,1960,1962,G,193,86,August 20, 1937,West Virginia University,506,Bobby Smith,West Virginia University,1937,,
Charles Smith,1989,1997,F-C,208,104,July 16, 1965,University of Pittsburgh,1955,Charles Smith,University of Pittsburgh,1965,Bridgeport,Connecticut
Charles Smith,1990,1996,G,208,104,November 29, 1967,Georgetown University,1955,Charles Smith,University of Pittsburgh,1965,Bridgeport,Connecticut
Charles Smith,1998,2006,G,208,104,August 22, 1975,University of New Mexico,1955,Charles Smith,University of Pittsburgh,1965,Bridgeport,Connecticut
Chris Smith,1993,1995,G,208,104,May 17, 1970,University of Connecticut,2230,Chris Smith,University of Pittsburgh,1965,Bridgeport,Connecticut
Chris Smith,2014,2014,G,208,104,October 13, 1987,University of Louisville,2230,Chris Smith,University of Pittsburgh,1965,Bridgeport,Connecticut
Clinton Smith,1987,1991,F,198,95,January 19, 1964,Cleveland State University,1818,Clinton Smith,Cleveland State University,1964,Cleveland,Ohio
Craig Smith,2007,2012,F,201,113,November 10, 1983,Boston College,3193,Craig Smith,Boston College,1983,Inglewood,California
Deb Smith,1947,1947,F,6-3,180,January 7, 1920,University of Utah
Dennis Smith,2018,2018,G,6-3,195,November 25, 1997,North Carolina State University
Derek Smith,1983,1991,G-F,190,81,November 1, 1961,University of Louisville,1575,Derek Smith,University of Utah,1920,,
Don Smith,1949,1949,G-F,188,86,July 27, 1920,University of Minnesota,1055,Don Smith,University of Minnesota,1920,Minnesota,
Don Smith,1975,1975,G,188,86,October 10, 1951,University of Dayton,1055,Don Smith,University of Minnesota,1920,Minnesota,
Donta Smith,2005,2006,G-F,188,86,November 27, 1983,Southeastern Illinois College,3024,Donta Smith,University of Minnesota,1920,Minnesota,
Doug Smith,1992,1996,F,188,86,September 17, 1969,University of Missouri,2168,Doug Smith,University of Minnesota,1920,Minnesota,
Ed Smith,1954,1954,F,198,81,July 5, 1929,Harvard University,347,Ed Smith,Harvard University,1929,West Jefferson,Ohio
Elmore Smith,1972,1979,C,213,113,May 9, 1949,Kentucky State University,921,Elmore Smith,Kentucky State University,1949,Macon,Georgia
Garfield Smith,1971,1973,C-F,206,106,November 18, 1945,Eastern Kentucky University,867,Garfield Smith,Eastern Kentucky University,1945,Campbellsville,Kentucky
Greg Smith,1969,1976,F,196,88,January 28, 1947,Western Kentucky University,782,Greg Smith,Western Kentucky University,1947,Princeton,Kentucky
Greg Smith,2012,2016,C,196,88,January 8, 1991,California State University, Fresno,782,Greg Smith,Western Kentucky University,1947,Princeton,Kentucky
Ish Smith,2011,2018,G,183,79,July 5, 1988,Wake Forest University,3441,Ish Smith,Wake Forest University,1988,Charlotte,North Carolina
J.R. Smith,2005,2018,G-F,188,86,September 9, 1985,,3025,J.R. Smith,,1920,,
Jabari Smith,2001,2005,C,211,113,February 12, 1977,Louisiana State University,2765,Jabari Smith,Louisiana State University,1977,Atlanta,Georgia
Jason Smith,2008,2018,F-C,211,113,March 2, 1986,Colorado State University,3253,Jason Smith,Louisiana State University,1977,Atlanta,Georgia
Jerry Smith,2012,2012,G,188,86,September 26, 1987,University of Louisville,3511,Jerry Smith,University of Louisville,1987,Wauwatosa,Wisconsin
Jim Smith,1982,1983,F,206,102,April 12, 1958,Ohio State University,1514,Jim Smith,Ohio State University,1958,Cleveland,Ohio
Joe Smith,1996,2011,F,213,106,July 26, 1975,University of Maryland,2433,Joe Smith,University of Southern Colorado,1944,Columbus,Mississippi
John Smith,1969,1970,C,7-0,235,May 24, 1944,University of Southern Colorado
Josh Smith,2005,2018,F,213,106,December 5, 1985,,3026,Josh Smith,University of Southern Colorado,1944,Columbus,Mississippi
Keith Smith,1987,1987,G,190,77,March 9, 1964,Loyola Marymount University,1819,Keith Smith,University of North Carolina,1965,Queens,New York
Ken Smith,1976,1976,F,6-7,185,July 12, 1953,University of Tulsa
Kenny Smith,1988,1997,G,190,77,March 8, 1965,University of North Carolina,1874,Kenny Smith,University of North Carolina,1965,Queens,New York
LaBradford Smith,1992,1994,G,203,97,April 3, 1969,University of Louisville,2169,LaBradford Smith,Alcorn State University,1958,Rolling Fork,Mississippi
Larry Smith,1981,1993,F-C,203,97,January 18, 1958,Alcorn State University,1454,Larry Smith,Alcorn State University,1958,Rolling Fork,Mississippi
Leon Smith,2002,2004,C,208,106,November 2, 1980,,2834,Leon Smith,,1980,Chicago,Illinois
Michael Smith,1990,1995,F,208,102,May 19, 1965,Brigham Young University,2037,Michael Smith,Brigham Young University,1965,Rochester,New York
Michael Smith,1995,2001,F,208,102,March 28, 1972,Providence College,2037,Michael Smith,Brigham Young University,1965,Rochester,New York
Mike Smith,2001,2001,F,208,102,April 15, 1976,University of Louisiana at Monroe,2766,Mike Smith,Brigham Young University,1965,Rochester,New York
Nolan Smith,2012,2013,G,188,83,July 25, 1988,Duke University,3512,Nolan Smith,Duke University,1988,Louisville,Kentucky
Otis Smith,1987,1992,G-F,196,95,January 30, 1964,Jacksonville University,1820,Otis Smith,Jacksonville University,1964,Jacksonville,Florida
Pete Smith,1973,1973,F,6-6,205,,Valdosta State University
Phil Smith,1975,1983,G,193,83,April 22, 1952,University of San Francisco,1056,Phil Smith,University of San Francisco,1952,San Francisco,California
Randy Smith,1972,1983,G-F,190,81,December 12, 1948,State University of New York College at Buffalo,922,Randy Smith,State University of New York College at Buffalo,1948,Bellport,New York
Reggie Smith,1993,1994,C,208,108,August 21, 1970,Texas Christian University,2231,Reggie Smith,Texas Christian University,1970,San Jose,California
Robert Smith,1978,1985,G,180,74,March 10, 1955,University of Nevada, Las Vegas,1283,Robert Smith,University of Nevada, Las Vegas,1955,Los Angeles,California
Russ Smith,2015,2016,G,183,74,April 19, 1991,University of Louisville,3749,Russ Smith,University of Louisville,1991,New York,New York
Sam Smith,1968,1971,F,201,104,January 27, 1944,Kentucky Wesleyan College,1330,Sam Smith,Kentucky Wesleyan College,1944,Hazard,Kentucky
Sam Smith,1979,1980,G,201,104,January 8, 1955,University of Nevada, Las Vegas,1330,Sam Smith,Kentucky Wesleyan College,1944,Hazard,Kentucky
Steve Smith,1992,2005,G,201,90,March 31, 1969,Michigan State University,2170,Steve Smith,Michigan State University,1969,Highland Park,Michigan
Steven Smith,2007,2007,F,201,90,April 12, 1983,La Salle University,3194,Steven Smith,Michigan State University,1969,Highland Park,Michigan
Stevin Smith,1997,1997,G,201,90,January 24, 1972,Arizona State University,2506,Stevin Smith,Michigan State University,1969,Highland Park,Michigan
Theron Smith,2004,2005,F,203,102,October 3, 1980,Ball State University,2965,Theron Smith,Ball State University,1980,Bartow,Florida
